query,target
What is the NAV history of Franklin India Government Securities Fund?,Franklin India Government Securities Fund
Does Axis Dynamic Bond Fund offer a monthly dividend option?,Axis Dynamic Bond Fund
What’s the sector exposure of ICICI Prudential Infrastructure Fund?,ICICI Prudential Infrastructure Fund
How has Nippon India Consumption Fund performed against Nifty FMCG?,Nippon India Consumption Fund
Is Aditya Birla Sun Life Corporate Bond Fund a low-risk investment?,Aditya Birla Sun Life Corporate Bond Fund
What is the expense ratio of Mirae Asset NYSE FANG+ ETF?,Mirae Asset NYSE FANG+ ETF
Does HDFC Dynamic Debt Fund allow SIP top-ups?,HDFC Dynamic Debt Fund
What’s the performance of Franklin India Multi Cap Fund since launch?,Franklin India Multi Cap Fund
How volatile is ICICI Prudential Exports and Services Fund?,ICICI Prudential Exports and Services Fund
Is Nippon India Passive Flexicap FoF suitable for beginners?,Nippon India Passive Flexicap FoF
What is the minimum redemption amount for Axis Overnight Fund?,Axis Overnight Fund
Does Aditya Birla Sun Life Money Manager Fund have an exit load?,Aditya Birla Sun Life Money Manager Fund
What’s the benchmark for Mirae Asset Global Electric & Autonomous Vehicles ETFs FoF?,Mirae Asset Global Electric & Autonomous Vehicles ETFs FoF
How has Franklin India Equity Savings Fund performed over 3 years?,Franklin India Equity Savings Fund
Is ICICI Prudential Ultra Short Term Fund good for emergency funds?,ICICI Prudential Ultra Short Term Fund
What is the portfolio quality of Nippon India Credit Risk Fund?,Nippon India Credit Risk Fund
Does HDFC Floating Rate Debt Fund offer a weekly dividend option?,HDFC Floating Rate Debt Fund
What’s the risk-adjusted return of Axis Strategic Bond Fund?,Axis Strategic Bond Fund
How has Aditya Birla Sun Life Dividend Yield Fund performed against its peers?,Aditya Birla Sun Life Dividend Yield Fund
Is Mirae Asset Low Volatility Equity Fund suitable for retirees?,Mirae Asset Low Volatility Equity Fund
What is the expense ratio trend for Franklin India Smaller Companies Fund?,Franklin India Smaller Companies Fund
Does ICICI Prudential Regular Savings Fund have a lock-in period?,ICICI Prudential Regular Savings Fund
What’s the portfolio allocation of Nippon India Balanced Advantage Fund?,Nippon India Balanced Advantage Fund
How has Axis Multicap Fund performed since its launch?,Axis Multicap Fund
Is Aditya Birla Sun Life Floating Rate Fund good for short-term goals?,Aditya Birla Sun Life Floating Rate Fund
What is the redemption fee for Mirae Asset Arbitrage Fund?,Mirae Asset Arbitrage Fund
Does Franklin India Debt Hybrid Fund offer a growth plan?,Franklin India Debt Hybrid Fund
What’s the performance of ICICI Prudential Commodities Fund over the last 2 years?,ICICI Prudential Commodities Fund
How volatile is Nippon India Vision Fund?,Nippon India Vision Fund
Is HDFC Gold Fund a good hedge against inflation?,HDFC Gold Fund
What is the minimum SIP amount for Axis ESG Equity Fund?,Axis ESG Equity Fund
Does Aditya Birla Sun Life Multi-Cap Fund have a dividend option?,Aditya Birla Sun Life Multi-Cap Fund
What’s the benchmark performance of Franklin India Bluechip Fund?,Franklin India Bluechip Fund
How has Mirae Asset Healthcare Fund performed against BSE Healthcare?,Mirae Asset Healthcare Fund
Is ICICI Prudential Passive Multi-Asset FoF suitable for long-term wealth creation?,ICICI Prudential Passive Multi-Asset FoF
What is the expense ratio of Nippon India Index Fund - Sensex Plan?,Nippon India Index Fund - Sensex Plan
Does HDFC Credit Risk Debt Fund allow partial withdrawals?,HDFC Credit Risk Debt Fund
What’s the portfolio turnover of Axis Focused 25 Fund?,Axis Focused 25 Fund
How has Franklin India Life Stage FoF 20s performed over 5 years?,Franklin India Life Stage FoF 20s
Is Aditya Birla Sun Life Savings Fund good for liquidity needs?,Aditya Birla Sun Life Savings Fund
What is the risk profile of Mirae Asset Dynamic Bond Fund?,Mirae Asset Dynamic Bond Fund
Does ICICI Prudential Child Care Fund have a lock-in period?,ICICI Prudential Child Care Fund
What’s the performance of Nippon India ETF Nifty BeES against Nifty 50?,Nippon India ETF Nifty BeES
How volatile is HDFC Dividend Yield Fund?,HDFC Dividend Yield Fund
Is Axis Gold Fund a good alternative to physical gold?,Axis Gold Fund
What is the minimum investment for Franklin India Equity Hybrid Fund?,Franklin India Equity Hybrid Fund
Does Aditya Birla Sun Life Regular Savings Fund offer SWP?,Aditya Birla Sun Life Regular Savings Fund
What’s the portfolio duration of Mirae Asset Corporate Bond Fund?,Mirae Asset Corporate Bond Fund
How has ICICI Prudential Midcap Fund performed over the last 3 years?,ICICI Prudential Midcap Fund
Is Nippon India Tax Saver Fund suitable for tax planning?,Nippon India Tax Saver Fund
What is the expense ratio of Franklin India Index Fund - NSE Nifty Plan?,Franklin India Index Fund - NSE Nifty Plan
Does HDFC Ultra Short Term Fund have an exit load for early redemption?,HDFC Ultra Short Term Fund
What’s the performance of Axis Equity Saver Fund over 1 year?,Axis Equity Saver Fund
How volatile is Aditya Birla Sun Life Equity Savings Fund?,Aditya Birla Sun Life Equity Savings Fund
Is Mirae Asset Money Market Fund good for short-term parking?,Mirae Asset Money Market Fund
What is the portfolio yield of ICICI Prudential Corporate Bond Fund?,ICICI Prudential Corporate Bond Fund
Does Nippon India Floating Rate Fund offer a daily dividend plan?,Nippon India Floating Rate Fund
What’s the benchmark for Franklin India Technology Fund?,Franklin India Technology Fund
How has HDFC Multi-Asset Fund performed against its peers?,HDFC Multi-Asset Fund
Is Axis Banking & PSU Debt Fund a low-risk option?,Axis Banking & PSU Debt Fund
What is the minimum redemption amount for Mirae Asset Overnight Fund?,Mirae Asset Overnight Fund
Does Aditya Birla Sun Life Dynamic Bond Fund allow SIP?,Aditya Birla Sun Life Dynamic Bond Fund
What’s the performance of ICICI Prudential Long Term Equity Fund since inception?,ICICI Prudential Long Term Equity Fund
How volatile is Nippon India Equity Hybrid Fund?,Nippon India Equity Hybrid Fund
Is Franklin India Short Term Income Plan suitable for monthly income?,Franklin India Short Term Income Plan
What is the expense ratio of HDFC Nifty 50 ETF?,HDFC Nifty 50 ETF
Does Axis Liquid Fund offer instant redemption?,Axis Liquid Fund
What’s the portfolio allocation of Mirae Asset Balanced Advantage Fund?,Mirae Asset Balanced Advantage Fund
How has Aditya Birla Sun Life Index Fund performed against BSE Sensex?,Aditya Birla Sun Life Index Fund
Is ICICI Prudential Money Market Fund good for emergency savings?,ICICI Prudential Money Market Fund
What is the risk level of Nippon India Gilt Securities Fund?,Nippon India Gilt Securities Fund
Does Franklin India Ultra Short Bond Fund have a lock-in period?,Franklin India Ultra Short Bond Fund
What’s the performance of HDFC Corporate Bond Fund over 5 years?,HDFC Corporate Bond Fund
How volatile is Mirae Asset Large & Midcap Fund?,Mirae Asset Large & Midcap Fund
Is Axis Regular Saver Fund suitable for conservative investors?,Axis Regular Saver Fund
What is the minimum SIP amount for Aditya Birla Sun Life Gold Fund?,Aditya Birla Sun Life Gold Fund
Does ICICI Prudential Sensex ETF allow monthly investments?,ICICI Prudential Sensex ETF
What’s the benchmark for Nippon India Small Cap Fund?,Nippon India Small Cap Fund
How has Franklin India Balanced Advantage Fund performed over 1 year?,Franklin India Balanced Advantage Fund
Is HDFC Banking and PSU Debt Fund good for stable returns?,HDFC Banking and PSU Debt Fund
What is the portfolio composition of Mirae Asset Mult,Mirae Asset
What is the Treynor ratio of Motilal Oswal Midcap Fund?,Motilal Oswal Midcap Fund
Is Canara Robeco Emerging Equities Fund good for a 7-year wealth creation goal?,Canara Robeco Emerging Equities Fund
How has Edelweiss Large Cap Fund performed against Nifty 100 over 5 years?,Edelweiss Large Cap Fund
What is the capture ratio of UTI Flexi Cap Fund?,UTI Flexi Cap Fund
Does Quant Small Cap Fund offer a systematic withdrawal plan?,Quant Small Cap Fund
What’s the tax efficiency of investing in DSP Tax Saver Fund?,DSP Tax Saver Fund
Is Invesco India Midcap Fund suitable for a high-risk investor?,Invesco India Midcap Fund
What is the AUM growth trend for Kotak Equity Opportunities Fund?,Kotak Equity Opportunities Fund
How volatile is Sundaram Small Cap Fund over the past 3 years?,Sundaram Small Cap Fund
What’s the sector exposure of Motilal Oswal Nasdaq 100 ETF?,Motilal Oswal Nasdaq 100 ETF
Does Edelweiss Liquid Fund provide instant redemption options?,Edelweiss Liquid Fund
What is the minimum lump-sum investment for Canara Robeco Bluechip Equity Fund?,Canara Robeco Bluechip Equity Fund
How has UTI Mid Cap Fund performed since its inception?,UTI Mid Cap Fund
Is Quant Flexi Cap Fund better than bank FDs for a 5-year horizon?,Quant Flexi Cap Fund
What’s the expense ratio of DSP Midcap Fund over the last 2 years?,DSP Midcap Fund
Can I invest in Motilal Oswal Long Term Equity Fund for tax benefits?,Motilal Oswal Long Term Equity Fund
What is the downside risk of Edelweiss Balanced Advantage Fund?,Edelweiss Balanced Advantage Fund
Does Kotak Standard Multicap Fund offer a dividend payout option?,Kotak Standard Multicap Fund
What’s the performance of Canara Robeco Consumer Trends Fund against BSE 200?,Canara Robeco Consumer Trends Fund
Is UTI Dividend Yield Fund suitable for passive income generation?,UTI Dividend Yield Fund
What is the fund manager experience for DSP Equity Opportunities Fund?,DSP Equity Opportunities Fund
How has Quant Large and Mid Cap Fund performed in the last 6 months?,Quant Large and Mid Cap Fund
What’s the entry load for Motilal Oswal Flexi Cap Fund?,Motilal Oswal Flexi Cap Fund
Does Edelweiss Arbitrage Fund allow weekly SIPs?,Edelweiss Arbitrage Fund
What is the 7-year CAGR of Canara Robeco Equity Hybrid Fund?,Canara Robeco Equity Hybrid Fund
Is Kotak Small Cap Fund appropriate for a beginner investor?,Kotak Small Cap Fund
What’s the dividend reinvestment policy of UTI Hybrid Equity Fund?,UTI Hybrid Equity Fund
How risky is investing in DSP Focus Fund?,DSP Focus Fund
What is the portfolio turnover of Motilal Oswal Large and Midcap Fund?,Motilal Oswal Large and Midcap Fund
Does Quant Liquid Fund have a direct plan option?,Quant Liquid Fund
What’s the NAV growth trend for Edelweiss Mid Cap Fund?,Edelweiss Mid Cap Fund
Is Canara Robeco Flexi Cap Fund better than PPF for retirement goals?,Canara Robeco Flexi Cap Fund
What is the Jensen’s alpha of Kotak Emerging Equity Fund?,Kotak Emerging Equity Fund
How has UTI Infrastructure Fund performed against its sector peers?,UTI Infrastructure Fund
Can I start a daily SIP in DSP Small Cap Fund?,DSP Small Cap Fund
What’s the investment strategy of Motilal Oswal Nifty 500 Index Fund?,Motilal Oswal Nifty 500 Index Fund
Does Edelweiss Equity Savings Fund have a lock-in period?,Edelweiss Equity Savings Fund
What is the riskometer level for Canara Robeco Corporate Bond Fund?,Canara Robeco Corporate Bond Fund
How has Quant Value Fund performed against BSE Sensex over 3 years?,Quant Value Fund
Is UTI Banking and Financial Services Fund good for short-term gains?,UTI Banking and Financial Services Fund
What’s the minimum redemption amount for Kotak Liquid Fund?,Kotak Liquid Fund
Does DSP Dynamic Asset Allocation Fund offer a growth plan?,DSP Dynamic Asset Allocation Fund
What is the 3-year return of Motilal Oswal Dynamic Fund?,Motilal Oswal Dynamic Fund
How volatile is Edelweiss Small Cap Fund historically?,Edelweiss Small Cap Fund
What’s the benchmark index for Canara Robeco Infrastructure Fund?,Canara Robeco Infrastructure Fund
Is Quant Mid Cap Fund a good choice for aggressive investors?,Quant Mid Cap Fund
What is the portfolio overlap of UTI Large Cap Fund with Nifty 50?,UTI Large Cap Fund
Does Kotak Debt Hybrid Fund have a monthly dividend option?,Kotak Debt Hybrid Fund
What’s the latest fund review for DSP Healthcare Fund?,DSP Healthcare Fund
How has Motilal Oswal Equity Hybrid Fund performed since launch?,Motilal Oswal Equity Hybrid Fund
Is Edelweiss Greater China Equity Off-shore Fund suitable for diversification?,Edelweiss Greater China Equity Off-shore Fund
What is the expense ratio of Canara Robeco Short Duration Fund?,Canara Robeco Short Duration Fund
Does Quant Absolute Fund allow partial redemptions?,Quant Absolute Fund
What’s the performance of UTI MNC Fund over the last 10 years?,UTI MNC Fund
How risky is investing in DSP Natural Resources and New Energy Fund?,DSP Natural Resources and New Energy Fund
What is the portfolio yield of Kotak Medium Term Fund?,Kotak Medium Term Fund
Is Motilal Oswal Ultra Short Term Fund good for emergency funds?,Motilal Oswal Ultra Short Term Fund
What’s the investment horizon for Edelweiss Emerging Markets Opportunities Fund?,Edelweiss Emerging Markets Opportunities Fund
Does Canara Robeco Gilt Fund offer daily liquidity?,Canara Robeco Gilt Fund
What is the 5-year return of Quant Consumption Fund?,Quant Consumption Fund
How has UTI Long Term Equity Fund performed against its peers?,UTI Long Term Equity Fund
Is DSP Low Duration Fund a good option for parking surplus cash?,DSP Low Duration Fund
What’s the redemption process for Kotak Equity Savings Fund?,Kotak Equity Savings Fund
Does Motilal Oswal Balanced Advantage Fund have a minimum holding period?,Motilal Oswal Balanced Advantage Fund
What is the risk level of Edelweiss Money Market Fund?,Edelweiss Money Market Fund
How has Canara Robeco Value Fund performed over the last 2 years?,Canara Robeco Value Fund
What’s the portfolio duration of Quant Dynamic Bond Fund?,Quant Dynamic Bond Fund
Is UTI Retirement Fund suitable for a 20-year investment horizon?,UTI Retirement Fund
What is the NAV history of DSP Government Securities Fund?,DSP Government Securities Fund
Does Kotak Corporate Bond Fund offer a quarterly dividend?,Kotak Corporate Bond Fund
What’s the sector allocation of Motilal Oswal Financial Services Fund?,Motilal Oswal Financial Services Fund
How has Edelweiss US Technology Equity FoF performed against Nasdaq 100?,Edelweiss US Technology Equity FoF
Is Canara Robeco Dynamic Bond Fund a low-risk investment?,Canara Robeco Dynamic Bond Fund
What is the expense ratio of Quant Infrastructure Fund?,Quant Infrastructure Fund
Does UTI Short Term Income Fund allow SIP top-ups?,UTI Short Term Income Fund
What’s the performance of DSP India T.I.G.E.R. Fund since inception?,DSP India T.I.G.E.R. Fund
How volatile is Motilal Oswal Multi Asset Fund?,Motilal Oswal Multi Asset Fund
Is Kotak Gold Fund a good hedge against market volatility?,Kotak Gold Fund
What is the minimum SIP amount for Edelweiss Flexi Cap Fund?,Edelweiss Flexi Cap Fund
Does Canara Robeco Equity Tax Saver Fund have a dividend option?,Canara Robeco Equity Tax Saver Fund
What’s the benchmark for Quant ESG Equity Fund?,Quant ESG Equity Fund
How has UTI Healthcare Fund performed against BSE Healthcare Index?,UTI Healthcare Fund
Is DSP Arbitrage Fund suitable for short-term wealth creation?,DSP Arbitrage Fund
What is the minimum redemption amount for Motilal Oswal Liquid Fund?,Motilal Oswal Liquid Fund
Does Kotak Balanced Advantage Fund have an exit load?,Kotak Balanced Advantage Fund
What’s the performance of Edelweiss Gold and Silver ETF FoF over 1 year?,Edelweiss Gold and Silver ETF FoF
How volatile is Canara Robeco Mid Cap Fund?,Canara Robeco Mid Cap Fund
Is Quant Multi Asset Fund good for balanced growth?,Quant Multi Asset Fund
What is the expense ratio trend for UTI Nifty Index Fund?,UTI Nifty Index Fund
Does DSP Credit Risk Fund have a lock-in period?,DSP Credit Risk Fund
What’s the portfolio allocation of Motilal Oswal Business Cycle Fund?,Motilal Oswal Business Cycle Fund
How has Kotak India EQ Contra Fund performed over 5 years?,Kotak India EQ Contra Fund
Is Edelweiss Banking and PSU Debt Fund good for stable returns?,Edelweiss Banking and PSU Debt Fund
What is the redemption fee for Canara Robeco Overnight Fund?,Canara Robeco Overnight Fund
Does UTI Dynamic Bond Fund offer a growth plan?,UTI Dynamic Bond Fund
What’s the performance of DSP Quant Fund over the last 3 years?,DSP Quant Fund
How volatile is Motilal Oswal Small Cap Fund?,Motilal Oswal Small Cap Fund
Is Kotak ESG Opportunities Fund suitable for ethical investing?,Kotak ESG Opportunities Fund
What is the minimum investment for Edelweiss Dynamic Equity Offshore Fund?,Edelweiss Dynamic Equity Offshore Fund
Does Canara Robeco Ultra Short Term Fund offer SWP?,Canara Robeco Ultra Short Term Fund
What’s the portfolio duration of UTI Bond Fund?,UTI Bond Fund
How has Quant Tax Plan performed over the last 7 years?,Quant Tax Plan
Is DSP Global Innovation FoF good for international exposure?,DSP Global Innovation FoF
What is the expense ratio of Motilal Oswal Nifty Midcap 150 Index Fund?,Motilal Oswal Nifty Midcap 150 Index Fund
Does Kotak Overnight Fund allow instant redemption?,Kotak Overnight Fund
What’s the portfolio allocation of Edelweiss Multi Asset Allocation Fund?,Edelweiss Multi Asset Allocation Fund
How has Canara Robeco Focused Equity Fund performed since launch?,Canara Robeco Focused Equity Fund
Is UTI Credit Risk Fund suitable for conservative investors?,UTI Credit Risk Fund
What is the risk profile of Quant Gilt Fund?,Quant Gilt Fund
Does DSP Equity Savings Fund allow monthly SIPs?,DSP Equity Savings Fund
What’s the performance of Motilal Oswal Nifty Smallcap 250 Index Fund against its benchmark?,Motilal Oswal Nifty Smallcap 250 Index Fund
How volatile is Kotak Multicap Fund?,Kotak Multicap Fund
Is Edelweiss Nifty PSU Bond Plus SDL Index Fund good for fixed income?,Edelweiss Nifty PSU Bond Plus SDL Index Fund
What is the minimum SIP amount for Canara Robeco Multi Cap Fund?,Canara Robeco Multi Cap Fund
Does UTI Money Market Fund have a dividend payout option?,UTI Money Market Fund
What’s the benchmark for DSP World Gold Fund?,DSP World Gold Fund
How has Quant Dynamic Asset Allocation Fund performed over 2 years?,Quant Dynamic Asset Allocation Fund
Is Motilal Oswal Gold and Silver ETF good for portfolio diversification?,Motilal Oswal Gold and Silver ETF
What is the portfolio turnover of Kotak Equity Hybrid Fund?,Kotak Equity Hybrid Fund
Does Edelweiss Dynamic Bond Fund allow partial withdrawals?,Edelweiss Dynamic Bond Fund
What’s the performance of Canara Robeco Equity Dividend Fund since inception?,Canara Robeco Equity Dividend Fund
How volatile is UTI Multi Asset Fund?,UTI Multi Asset Fund
Is DSP Nifty 50 Equal Weight Index Fund good for passive investing?,DSP Nifty 50 Equal Weight Index Fund
What is the minimum redemption amount for Quant Overnight Fund?,Quant Overnight Fund
Does Motilal Oswal ELSS Tax Saver Fund have a lock-in period?,Motilal Oswal ELSS Tax Saver Fund
What’s the portfolio yield of Kotak Credit Risk Fund?,Kotak Credit Risk Fund
How has Edelweiss Large & Mid Cap Fund performed against Nifty LargeMidcap 250?,Edelweiss Large & Mid Cap Fund
Is Canara Robeco Banking and PSU Debt Fund a low-risk option?,Canara Robeco Banking and PSU Debt Fund
What is the expense ratio of UTI Nifty Next 50 Index Fund?,UTI Nifty Next 50 Index Fund
Does DSP Short Term Fund offer a daily dividend plan?,DSP Short Term Fund
What’s the performance of Motilal Oswal Focused Fund over the last 5 years?,Motilal Oswal Focused Fund
How volatile is Kotak Low Duration Fund?,Kotak Low Duration Fund
Is Quant Large Cap Fund suitable for long-term growth?,Quant Large Cap Fund
What is the minimum investment for Edelweiss Europe Dynamic Equity Offshore Fund?,Edelweiss Europe Dynamic Equity Offshore Fund
Does Canara Robeco Liquid Fund have an exit load?,Canara Robeco Liquid Fund
What’s the portfolio composition of UTI Balanced Advantage Fund?,UTI Balanced Advantage Fund
How has DSP Value Fund performed against its benchmark?,DSP Value Fund
Is Motilal Oswal Nifty Bank Index Fund good for sectoral exposure?,Motilal Oswal Nifty Bank Index Fund
What is the risk level of Kotak Dynamic Bond Fund?,Kotak Dynamic Bond Fund
Does Edelweiss Overnight Fund allow SIP investments?,Edelweiss Overnight Fund
What’s the performance of Canara Robeco Gold Savings Fund over 3 years?,Canara Robeco Gold Savings Fund
How volatile is Quant Dividend Yield Fund?,Quant Dividend Yield Fund
Is UTI Nifty Midcap 150 Quality 50 Index Fund good for midcap exposure?,UTI Nifty Midcap 150 Quality 50 Index Fund
What is the minimum SIP amount for DSP Banking and PSU Debt Fund?,DSP Banking and PSU Debt Fund
Does Motilal Oswal Multi Cap Fund have a dividend option?,Motilal Oswal Multi Cap Fund
What’s the benchmark for Kotak Global Emerging Market Fund?,Kotak Global Emerging Market Fund
How has Edelweiss Emerging Markets Equity Offshore Fund performed since launch?,Edelweiss Emerging Markets Equity Offshore Fund
Is Canara Robeco Credit Opportunities Fund suitable for income generation?,Canara Robeco Credit Opportunities Fund
What is the expense ratio of Quant Money Market Fund?,Quant Money Market Fund
Does UTI Gilt Fund offer a growth plan?,UTI Gilt Fund
What’s the performance of DSP Multi Cap Fund over the last 1 year?,DSP Multi Cap Fund
How volatile is Motilal Oswal Consumption Fund?,Motilal Oswal Consumption Fund
Is Kotak Nifty SDL Apr 2032 Index Fund good for debt investment?,Kotak Nifty SDL Apr 2032 Index Fund
What is the minimum redemption amount for Edelweiss Low Duration Fund?,Edelweiss Low Duration Fund
Does Canara Robeco Equity Savings Fund allow SWP?,Canara Robeco Equity Savings Fund
What’s the portfolio duration of UTI Overnight Fund?,UTI Overnight Fund
How has Quant Focused Fund performed against Nifty 100?,Quant Focused Fund
Is DSP World Energy Fund good for global diversification?,DSP World Energy Fund
What is the expense ratio trend for Motilal Oswal Nifty 50 Index Fund?,Motilal Oswal Nifty 50 Index Fund
Does Kotak Money Market Fund allow instant redemption?,Kotak Money Market Fund
What’s the portfolio allocation of Edelweiss Aggressive Hybrid Fund?,Edelweiss Aggressive Hybrid Fund
How has Canara Robeco Large Cap+ Fund performed over 10 years?,Canara Robeco Large Cap+ Fund
Is UTI Banking & PSU Debt Fund suitable for short-term goals?,UTI Banking & PSU Debt Fund
What is the risk profile of Quant Credit Risk Fund?,Quant Credit Risk Fund
Does DSP Nifty Midcap 150 Quality 50 Index Fund allow monthly SIPs?,DSP Nifty Midcap 150 Quality 50 Index Fund
What’s the performance of Motilal Oswal Value Fund against its benchmark?,Motilal Oswal Value Fund
How volatile is Kotak Multi Asset Allocation Fund?,Kotak Multi Asset Allocation Fund
Is Edelweiss Nifty Midcap 150 Momentum 50 Index Fund good for momentum investing?,Edelweiss Nifty Midcap 150 Momentum 50 Index Fund
What is the minimum SIP amount for Canara Robeco Dynamic Equity Fund?,Canara Robeco Dynamic Equity Fund
Does UTI Liquid Cash Plan have a dividend payout option?,UTI Liquid Cash Plan
What’s the benchmark for DSP World Agriculture Fund?,DSP World Agriculture Fund
How has Quant Low Duration Fund performed over 2 years?,Quant Low Duration Fund
Is Motilal Oswal Nifty Next 50 Index Fund suitable for passive investing?,Motilal Oswal Nifty Next 50 Index Fund
What is the portfolio turnover of Kotak Flexicap Fund?,Kotak Flexicap Fund
Does Edelweiss Credit Risk Bond Fund allow partial withdrawals?,Edelweiss Credit Risk Bond Fund
What’s the performance of Canara Robeco Multi Asset Fund since inception?,Canara Robeco Multi Asset Fund
How volatile is UTI Equity Savings Fund?,UTI Equity Savings Fund
Is DSP Nifty Smallcap 250 Quality 50 Index Fund good for smallcap exposure?,DSP Nifty Smallcap 250 Quality 50 Index Fund
What is the minimum redemption amount for Quant Ultra Short Term Fund?,Quant Ultra Short Term Fund
Does Motilal Oswal Aggressive Hybrid Fund have a lock-in period?,Motilal Oswal Aggressive Hybrid Fund
What’s the portfolio yield of Kotak Short Term Fund?,Kotak Short Term Fund
How has Edelweiss Multi Cap Fund performed against Nifty 500?,Edelweiss Multi Cap Fund
Is Canara Robeco Corporate Debt Fund a low-risk option?,Canara Robeco Corporate Debt Fund
What is the expense ratio of UTI Nifty 500 Value 50 Index Fund?,UTI Nifty 500 Value 50 Index Fund
Does DSP Overnight Fund offer a daily dividend plan?,DSP Overnight Fund
What’s the performance of Motilal Oswal Dividend Yield Fund over the last 5 years?,Motilal Oswal Dividend Yield Fund
How volatile is Kotak Gilt Fund?,Kotak Gilt Fund
Is Quant Momentum Fund suitable for high-risk investors?,Quant Momentum Fund
What is the minimum investment for Edelweiss Japan Equity FoF?,Edelweiss Japan Equity FoF
Does Canara Robeco Medium Term Fund offer SWP?,Canara Robeco Medium Term Fund
What’s the portfolio duration of UTI Floater Fund?,UTI Floater Fund
How has DSP Sectoral Banking Fund performed against Nifty Bank?,DSP Sectoral Banking Fund
Is Motilal Oswal Nifty Realty Index Fund good for sectoral exposure?,Motilal Oswal Nifty Realty Index Fund
What is the risk level of Kotak Income Opportunities Fund?,Kotak Income Opportunities Fund
Does Edelweiss Gilt Fund allow SIP investments?,Edelweiss Gilt Fund
What’s the performance of Canara Robeco Dividend Yield Fund over 3 years?,Canara Robeco Dividend Yield Fund
How volatile is Quant Equity Savings Fund?,Quant Equity Savings Fund
Is UTI Nifty Smallcap 250 Quality 50 Index Fund good for smallcap growth?,UTI Nifty Smallcap 250 Quality 50 Index Fund
What is the minimum SIP amount for DSP Corporate Bond Fund?,DSP Corporate Bond Fund
Does Motilal Oswal Dynamic Equity Fund have a dividend option?,Motilal Oswal Dynamic Equity Fund
What’s the benchmark for Kotak International REIT Fund?,Kotak International REIT Fund
How has Edelweiss Equity Dividend Opportunities Fund performed since launch?,Edelweiss Equity Dividend Opportunities Fund
Is Canara Robeco Low Duration Fund suitable for emergency savings?,Canara Robeco Low Duration Fund
What is the expense ratio of Quant Banking & Financial Services Fund?,Quant Banking & Financial Services Fund
Does UTI Medium Term Fund offer a growth plan?,UTI Medium Term Fund
What’s the performance of DSP Multi Asset Allocation Fund over the last 1 year?,DSP Multi Asset Allocation Fund
How volatile is Motilal Oswal Infrastructure Fund?,Motilal Oswal Infrastructure Fund
Is Kotak Nifty PSU Bank ETF good for PSU exposure?,Kotak Nifty PSU Bank ETF
What is the minimum redemption amount for Edelweiss Ultra Short Term Fund?,Edelweiss Ultra Short Term Fund
Does Canara Robeco Balanced Advantage Fund allow SWP?,Canara Robeco Balanced Advantage Fund
What’s the portfolio duration of UTI Corporate Bond Fund?,UTI Corporate Bond Fund
How has Quant Technology Fund performed against BSE IT Index?,Quant Technology Fund
Is DSP World Mining Fund good for commodity exposure?,DSP World Mining Fund
What is the expense ratio trend for Motilal Oswal Nifty 200 Momentum 30 Index Fund?,Motilal Oswal Nifty 200 Momentum 30 Index Fund
Does Kotak Ultra Short Term Fund allow instant redemption?,Kotak Ultra Short Term Fund
What’s the portfolio allocation of Edelweiss Equity Opportunities Fund?,Edelweiss Equity Opportunities Fund
How has Canara Robeco Growth Opportunities Fund performed over 10 years?,Canara Robeco Growth Opportunities Fund
Is UTI Low Duration Fund suitable for short-term goals?,UTI Low Duration Fund
What is the risk profile of Quant Healthcare Fund?,Quant Healthcare Fund
Does DSP Nifty Bank ETF allow monthly SIPs?,DSP Nifty Bank ETF
What’s the performance of Motilal Oswal Large Cap Fund against its benchmark?,Motilal Oswal Large Cap Fund
How volatile is Kotak Multi Asset Allocator FoF?,Kotak Multi Asset Allocator FoF
Is Edelweiss Nifty Smallcap 250 Index Fund good for smallcap investing?,Edelweiss Nifty Smallcap 250 Index Fund
What is the minimum SIP amount for Canara Robeco Aggressive Hybrid Fund?,Canara Robeco Aggressive Hybrid Fund
Does UTI Overnight Fund have a dividend payout option?,UTI Overnight Fund
What’s the benchmark for DSP Global Allocation Fund?,DSP Global Allocation Fund
How has Quant Retirement Fund performed over 2 years?,Quant Retirement Fund
Is Motilal Oswal Nifty IT Index Fund suitable for tech exposure?,Motilal Oswal Nifty IT Index Fund
What is the portfolio turnover of Kotak Equity Arbitrage Fund?,Kotak Equity Arbitrage Fund
Does Edelweiss Corporate Debt Opportunities Fund allow partial withdrawals?,Edelweiss Corporate Debt Opportunities Fund
What’s the performance of Canara Robeco Equity Opportunities Fund since inception?,Canara Robeco Equity Opportunities Fund
How volatile is UTI Multi Cap Fund?,UTI Multi Cap Fund
Is DSP Nifty PSU Bank ETF good for PSU banking exposure?,DSP Nifty PSU Bank ETF
What is the minimum redemption amount for Quant Short Term Fund?,Quant Short Term Fund
Does Motilal Oswal Conservative Hybrid Fund have a lock-in period?,Motilal Oswal Conservative Hybrid Fund
What’s the portfolio yield of Kotak Banking and PSU Debt Fund?,Kotak Banking and PSU Debt Fund
How has Edelweiss Balanced Hybrid Fund performed against Nifty 50?,Edelweiss Balanced Hybrid Fund
Is Canara Robeco Gilt Fund a low-risk option?,Canara Robeco Gilt Fund
What is the expense ratio of UTI Nifty Midcap 150 Momentum 50 Index Fund?,UTI Nifty Midcap 150 Momentum 50 Index Fund
Does DSP Medium Term Fund offer a daily dividend plan?,DSP Medium Term Fund
